state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
California,Colusa County,2020-02-16,2.541,,,16.204,8.013,-8.503
California,Colusa County,2020-02-17,-7.44,,,13.31,22.894,-39.758
California,Colusa County,2020-02-18,-9.002,,,9.572,12.755,-2.298
California,Colusa County,2020-02-19,-1.27,,,4.96,8.251,-5.135
California,Colusa County,2020-02-20,5.208,,,4.296,8.251,-3.774
California,Colusa County,2020-02-21,-7.292,,,10.696,10.016,-4.699
California,Colusa County,2020-02-22,-12.136,,,7.476,-2.976,6.614
California,Colusa County,2020-02-23,-1.27,,,19.676,11.447,
California,Colusa County,2020-02-24,-3.72,,,12.153,2.289,5.566
California,Colusa County,2020-02-25,-3.858,,,0.563,10.629,9.191
California,Colusa County,2020-02-26,1.27,,,6.614,4.125,-0.734
California,Colusa County,2020-02-27,3.906,,,10.202,4.125,3.019
California,Colusa County,2020-02-28,-3.125,,,12.091,12.019,0.783
California,Colusa County,2020-02-29,-6.068,,,9.47,5.952,4.96
California,Colusa County,2020-03-01,1.27,,,52.662,18.315,2.126
California,Colusa County,2020-03-02,4.96,,,18.519,-2.289,3.976
California,Colusa County,2020-03-03,7.716,,,10.698,17.007,4.596
California,Colusa County,2020-03-04,10.163,,,11.574,6.188,
California,Colusa County,2020-03-05,24.74,,,23.088,1.031,1.51
California,Colusa County,2020-03-06,,,,9.766,9.014,-1.566
California,Colusa County,2020-03-07,-3.034,,,8.473,3.968,13.228
California,Colusa County,2020-03-08,1.27,,,14.468,20.604,10.629
California,Colusa County,2020-03-09,1.24,,,12.153,5.723,1.59
California,Colusa County,2020-03-10,5.144,,,9.572,10.629,0.766
California,Colusa County,2020-03-11,7.622,,,7.165,-2.063,
California,Colusa County,2020-03-12,14.323,,,15.571,,5.284
California,Colusa County,2020-03-13,8.333,,,6.045,-1.002,1.566
California,Colusa County,2020-03-14,5.057,,,3.489,-5.952,3.307
California,Colusa County,2020-03-15,24.136,,,5.208,3.434,-6.378
California,Colusa County,2020-03-16,38.442,,,6.944,11.447,-3.976
California,Colusa County,2020-03-17,20.576,,,-1.126,3.189,-11.489
California,Colusa County,2020-03-18,27.947,,,-6.614,4.125,-24.941
California,Colusa County,2020-03-19,39.062,,,-6.98,2.063,-24.155
California,Colusa County,2020-03-20,5.208,,,-26.507,-7.011,-36.028
California,Colusa County,2020-03-21,-10.113,,,-36.384,-31.746,-19.841
California,Colusa County,2020-03-22,3.811,,,-25.463,-16.026,-27.636
California,Colusa County,2020-03-23,-13.641,,,-27.199,-20.604,-34.192
California,Colusa County,2020-03-24,-10.288,,,-38.851,-11.692,-34.467
California,Colusa County,2020-03-25,-7.622,,,-37.478,-22.69,-38.879
California,Colusa County,2020-03-26,6.51,,,-27.921,-19.596,-38.496
California,Colusa County,2020-03-27,-20.833,,,-45.573,-24.038,-34.461
California,Colusa County,2020-03-28,-17.193,,,-40.869,-26.786,-26.455
California,Colusa County,2020-03-29,-1.27,,,-38.773,-33.196,-38.265
California,Contra Costa County,2020-02-16,0.489,36.824,-1.607,2.864,10.278,0.453
California,Contra Costa County,2020-02-17,3.065,73.044,10.169,9.498,-33.617,-50.1
California,Contra Costa County,2020-02-18,0.752,22.581,0.509,-1.263,1.872,-2.372
California,Contra Costa County,2020-02-19,0.476,12.85,0.301,-1.356,-3.145,-0.035
California,Contra Costa County,2020-02-20,1.475,19.469,0.127,-0.095,0.384,-0.572
California,Contra Costa County,2020-02-21,2.36,13.153,0.415,-0.691,-0.781,0.364
California,Contra Costa County,2020-02-22,5.546,30.45,-0.778,1.237,3.919,1.808
California,Contra Costa County,2020-02-23,6.156,41.028,-0.782,3.643,8.472,4.201
California,Contra Costa County,2020-02-24,2.269,17.574,-0.704,0.827,1.658,3.649
California,Contra Costa County,2020-02-25,3.582,25.232,-0.705,0.812,4.905,3.658
California,Contra Costa County,2020-02-26,3.448,16.495,-0.931,2.653,-1.384,2.968
California,Contra Costa County,2020-02-27,5.78,23.818,-0.789,3.581,3.645,2.522
California,Contra Costa County,2020-02-28,5.049,12.006,-0.493,2.496,2.018,2.866
California,Contra Costa County,2020-02-29,8.731,30.528,-0.841,5.109,3.507,1.348
California,Contra Costa County,2020-03-01,8.717,20.682,-0.306,6.493,8.194,4.119
California,Contra Costa County,2020-03-02,9.253,7.363,-0.576,5.317,1.79,3.515
California,Contra Costa County,2020-03-03,11.798,29.552,-0.967,7.556,-0.194,2.396
California,Contra Costa County,2020-03-04,7.075,21.599,-0.116,2.904,-4.403,1.729
California,Contra Costa County,2020-03-05,6.623,19.865,-0.136,2.436,-3.389,0.993
California,Contra Costa County,2020-03-06,5.763,1.589,1.113,0.31,-6.12,1.031
California,Contra Costa County,2020-03-07,5.464,-15.536,1.922,-1.43,-10.726,-0.986
California,Contra Costa County,2020-03-08,6.012,13.956,1.226,0.262,-3.333,1.895
California,Contra Costa County,2020-03-09,7.691,22.483,1.127,2.349,-10.145,-0.427
California,Contra Costa County,2020-03-10,8.909,29.159,1.755,1.586,-12.327,-1.9
California,Contra Costa County,2020-03-11,10.494,21.599,2.372,1.983,-18.116,-4.067
California,Contra Costa County,2020-03-12,20.984,28.562,3.123,3.771,-19.375,-6.458
California,Contra Costa County,2020-03-13,32.49,1.589,5.078,-0.71,-25.0,-8.936
California,Contra Costa County,2020-03-14,21.113,-49.636,7.578,-15.804,-31.044,-8.319
California,Contra Costa County,2020-03-15,10.615,-34.302,7.262,-18.082,-29.306,-10.132
California,Contra Costa County,2020-03-16,45.91,-22.385,11.019,-1.221,-41.706,-30.487
California,Contra Costa County,2020-03-17,-1.084,-20.617,22.843,-38.471,-60.344,-52.219
California,Contra Costa County,2020-03-18,-5.946,-25.335,23.715,-39.068,-63.154,-53.941
California,Contra Costa County,2020-03-19,-2.589,12.749,23.727,-37.404,-61.451,-54.185
California,Contra Costa County,2020-03-20,-5.927,-1.059,25.295,-41.255,-60.286,-53.566
California,Contra Costa County,2020-03-21,-9.774,7.612,16.954,-48.389,-51.877,-37.945
California,Contra Costa County,2020-03-22,-18.843,19.253,14.387,-48.787,-48.056,-38.923
California,Contra Costa County,2020-03-23,-18.505,-22.581,23.976,-42.048,-65.643,-56.398
California,Contra Costa County,2020-03-24,-18.149,-35.442,26.574,-43.982,-70.735,-58.792
California,Contra Costa County,2020-03-25,-16.142,-13.306,25.887,-42.996,-67.369,-58.359
California,Contra Costa County,2020-03-26,-13.006,5.534,26.286,-41.824,-66.183,-58.728
California,Contra Costa County,2020-03-27,-14.105,-11.476,27.2,-44.664,-65.56,-56.859
California,Contra Costa County,2020-03-28,-19.109,-47.151,19.678,-52.581,-59.922,-43.337
California,Contra Costa County,2020-03-29,-21.604,-16.058,15.9,-50.191,-51.389,-42.548
California,Humboldt County,2020-02-16,-2.162,36.036,0.405,12.583,-16.138,-3.91
California,Humboldt County,2020-02-17,-5.36,53.354,5.805,-1.325,-25.077,-30.14
California,Humboldt County,2020-02-18,-2.956,50.765,0.712,3.494,-15.152,-9.574
California,Humboldt County,2020-02-19,-5.768,30.202,1.059,0.781,-24.038,-8.505
California,Humboldt County,2020-02-20,-0.518,22.238,1.62,2.556,-24.847,-8.8
California,Humboldt County,2020-02-21,-3.166,24.237,1.747,0.714,-20.133,-4.442
California,Humboldt County,2020-02-22,-2.922,47.762,-0.215,0.158,-31.342,-0.699
California,Humboldt County,2020-02-23,0.393,21.396,0.243,4.8,-19.073,-0.279
California,Humboldt County,2020-02-24,4.467,24.136,-1.202,-2.649,-12.539,8.672
California,Humboldt County,2020-02-25,,32.305,-0.777,1.145,-17.045,1.723
California,Humboldt County,2020-02-26,0.339,28.353,-1.051,6.732,-11.018,2.007
California,Humboldt County,2020-02-27,3.282,17.556,-0.074,4.822,-14.335,2.296
California,Humboldt County,2020-02-28,2.691,-4.641,-0.301,6.632,-17.507,8.037
California,Humboldt County,2020-02-29,4.469,30.022,-0.546,10.317,-31.342,3.496
California,Humboldt County,2020-03-01,8.058,25.338,-0.47,15.502,-17.606,2.513
California,Humboldt County,2020-03-02,9.827,19.055,-1.391,4.817,-16.397,11.633
California,Humboldt County,2020-03-03,10.608,34.942,-1.943,10.965,-16.098,1.819
California,Humboldt County,2020-03-04,6.447,27.737,-0.928,7.033,-12.019,2.485
California,Humboldt County,2020-03-05,3.8,4.682,0.248,3.718,-20.069,2.104
California,Humboldt County,2020-03-06,3.483,,-0.593,3.316,-20.133,9.729
California,Humboldt County,2020-03-07,3.782,32.751,-0.566,11.054,-33.186,2.563
California,Humboldt County,2020-03-08,6.093,40.541,-0.843,12.259,-14.671,2.513
California,Humboldt County,2020-03-09,9.112,34.299,-0.882,-0.301,-15.432,7.72
California,Humboldt County,2020-03-10,7.478,42.853,-0.589,6.446,-21.78,1.436
California,Humboldt County,2020-03-11,2.205,37.599,-0.737,4.388,-21.034,1.147
California,Humboldt County,2020-03-12,11.229,29.26,0.234,1.859,-24.847,0.861
California,Humboldt County,2020-03-13,12.19,4.125,1.03,0.051,-27.136,2.432
California,Humboldt County,2020-03-14,4.985,-18.65,3.47,-7.737,-49.779,-6.991
California,Humboldt County,2020-03-15,11.006,,3.108,-6.356,-29.343,-9.495
California,Humboldt County,2020-03-16,23.406,15.879,4.943,-8.43,-31.829,-13.959
California,Humboldt County,2020-03-17,13.39,-1.319,8.827,-18.676,-38.826,-26.137
California,Humboldt County,2020-03-18,4.92,37.599,9.182,-20.978,-31.05,-28.479
California,Humboldt County,2020-03-19,27.64,31.016,9.928,-14.35,-32.492,-29.748
California,Humboldt County,2020-03-20,-15.039,7.735,15.815,-45.911,-49.895,-36.168
California,Humboldt County,2020-03-21,-17.705,21.379,10.995,-51.162,-59.919,-33.091
California,Humboldt County,2020-03-22,-19.458,33.784,9.13,-45.468,-42.547,-33.791
California,Humboldt County,2020-03-23,-17.867,-13.338,15.436,-45.279,-54.977,-37.014
California,Humboldt County,2020-03-24,-23.477,-26.371,17.503,-44.522,-58.712,-45.286
California,Humboldt County,2020-03-25,-22.055,-3.082,17.18,-43.999,-53.085,-44.438
California,Humboldt County,2020-03-26,-18.829,3.511,17.662,-44.734,-45.872,-45.818
California,Humboldt County,2020-03-27,-22.163,-22.174,19.206,-47.849,-58.648,-41.138
California,Humboldt County,2020-03-28,-26.815,-30.022,14.454,-54.005,-65.45,-36.82
California,Humboldt County,2020-03-29,-24.175,-10.135,11.837,-49.813,-49.883,-36.305
California,Imperial County,2020-02-16,-5.625,30.112,-1.096,7.334,14.309,-0.354
California,Imperial County,2020-02-17,-2.636,14.065,4.494,3.458,4.304,-28.181
California,Imperial County,2020-02-18,-3.777,11.322,-0.886,1.837,9.354,4.097
California,Imperial County,2020-02-19,-4.618,4.281,-0.667,2.154,7.184,3.883
California,Imperial County,2020-02-20,-5.157,-0.435,-0.811,1.032,7.44,2.384
California,Imperial County,2020-02-21,-5.584,-11.094,-0.324,-0.28,12.277,1.403
California,Imperial County,2020-02-22,-7.602,-19.504,1.533,-0.346,13.13,1.469
California,Imperial County,2020-02-23,-4.77,-1.576,-0.255,4.546,16.026,-0.886
California,Imperial County,2020-02-24,-0.879,1.099,-0.505,3.334,12.483,11.34
California,Imperial County,2020-02-25,-4.751,-0.679,-0.336,3.349,16.156,4.408
California,Imperial County,2020-02-26,-2.099,19.264,-1.708,7.171,21.153,3.39
California,Imperial County,2020-02-27,-1.881,12.178,-1.982,9.87,26.455,3.484
California,Imperial County,2020-02-28,0.663,8.085,-0.196,4.859,46.503,-12.247
California,Imperial County,2020-02-29,1.188,10.836,-1.74,11.428,65.214,-0.401
California,Imperial County,2020-03-01,-1.851,-3.852,-0.688,12.578,37.202,-1.594
California,Imperial County,2020-03-02,2.259,5.054,-0.864,9.293,32.713,7.673
California,Imperial County,2020-03-03,2.498,0.679,-2.203,12.269,32.738,3.725
California,Imperial County,2020-03-04,0.84,2.378,-1.965,12.585,41.906,2.527
California,Imperial County,2020-03-05,-0.485,2.827,-2.23,11.097,45.883,2.262
California,Imperial County,2020-03-06,-1.438,3.949,-1.589,5.116,49.479,1.595
California,Imperial County,2020-03-07,-7.424,-10.836,-0.909,9.004,77.031,0.401
California,Imperial County,2020-03-08,1.424,19.608,-0.81,13.82,85.279,-4.783
California,Imperial County,2020-03-09,0.565,-1.319,-0.235,9.231,22.383,5.432
California,Imperial County,2020-03-10,-6.274,-31.25,3.627,-0.978,0.85,-2.049
California,Imperial County,2020-03-11,2.579,-15.221,0.741,5.329,-11.973,0.925
California,Imperial County,2020-03-12,8.129,-35.882,4.696,2.342,-22.321,-5.074
California,Imperial County,2020-03-13,11.334,-13.914,1.897,-0.631,-16.741,-1.276
California,Imperial County,2020-03-14,6.176,-21.816,3.082,-5.516,-21.008,-1.736
California,Imperial County,2020-03-15,8.402,-9.979,2.545,-3.394,-13.164,-4.96
California,Imperial County,2020-03-16,16.88,-24.393,3.188,3.55,-14.635,-7.741
California,Imperial County,2020-03-17,12.975,-8.605,5.663,-11.617,-23.384,-18.189
California,Imperial County,2020-03-18,5.457,-38.052,11.486,-20.578,-31.928,-28.045
California,Imperial County,2020-03-19,2.123,-36.317,10.534,-24.871,-26.868,-28.242
California,Imperial County,2020-03-20,-2.488,-44.374,16.305,-37.588,-40.551,-33.808
California,Imperial County,2020-03-21,-15.678,-64.003,16.567,-49.622,-52.083,-21.1
California,Imperial County,2020-03-22,-26.558,-65.301,15.646,-54.644,-56.662,-30.293
California,Imperial County,2020-03-23,-23.908,-56.259,16.049,-43.501,-49.07,-34.632
California,Imperial County,2020-03-24,-26.133,-54.574,16.091,-44.067,-54.422,-40.847
California,Imperial County,2020-03-25,-29.985,-53.035,17.396,-48.016,-55.077,-42.961
California,Imperial County,2020-03-26,-28.089,-51.757,17.61,-47.092,-52.083,-43.892
California,Imperial County,2020-03-27,-26.373,-52.459,20.861,-50.366,-55.06,-42.866
California,Imperial County,2020-03-28,-28.15,-64.291,18.558,-52.046,-63.463,-26.709
California,Imperial County,2020-03-29,-32.325,-67.752,16.22,-54.705,-64.103,-33.128
